,id,q,count,classes
29,30,"Номер дела: 3/73.  заполнении анкеты указала минимальный проходной балл по физике, но результаты еще не известны. Просьба, при оглашении результатов ЕГЭ по физике перепроверить данные. Благодарю ас.",0,
30,31,"Я закончил колледж в Казахстане, хочу поступить на эту же специальность автоматизация и управление какие правила приема?",0,
31,32,Экзамены сдавали в марте в РК г.Астана проходные баллы набрали подскажите мы поступили,0,
32,33,"Добрый день! Математику сдавал в 2013 году, она не подразделялась на общую и профильную...не надо для поступления в этом году сдавать профиль....что-то переживаю",0,
33,34,лияет ли средний балл диплома бакалавра на поступление в магистратуру?,0,
34,35,"Прокомментируйте пожалуйста аше высказывание на счет ИЧ-сертификата:  Международную службу нужно будет предоставить ИЧ-сертификат. Кто должен его сдавать, в какие сроки и нужен ли он при сдаче документов в приемную комиссию. И что за Международная служба?",0,
35,36,озможна ли подача документов в НГТУ по почте?,0,
36,37,"Заявление на поступление заполняется в УЗе, или его нужно принести уже готовое с собой?",0,
37,38, приёмной комиссии выдают бланк заявления на поступление или его нужно заранее самому распечатывать?,0,
38,39,"Можно ли узнать, почему в разделе рейтинг нет моих баллов (результатов)? Я сдавал платные вступительные экзамены через выездную комиссию в г. Талдыкорган, 5 мая-9 мая 2016 года Представитель НГТУ сообщила, что наши результаты к началу конкурса будут известны приемной комииссии",0,
39,40,Факультет информатики и выч. техники. Стоимость для обучающихся по контракту на первом курсе (в год) за 2016-2017 учебный год: 119300 руб. А в разделе стоимость обучения стоит цена 09.03.01 Информатика и вычислительная техника (очная форма) 1 курс 59650. Что значит обучение по контракту? На какую цену ориентироваться при поступлении? ,0,
40,41,Рассматриваю для поступления направление Конструкторско-технологическое обеспечение машиностроительных производств по заочной форме. Каким образом организуется практика по данному направлению по заочной форме? Будет ли выдаваться справка-вызов по моему месту работы на период практики?,0,
41,42,"Я прошел обучение в НОУ ОМУ(Открытый молодежный университет) г. Томск. Наименование курса-Современные web-технологии.Так же я активно участвовал в соревнованиях по допризывной подготовке, за что был награжден грамотами и памятным знаком Юный Защитник Отечества. Будут ли это учитываться как мои личные достижения ? ",0,
42,43,Когда экзамены поступления будут проходить в самом НГТУ ?? ,0,
43,44,"Добрый день, я бы хотел узнать, когда вывесят списки с полученными баллами и когда можно будет указать приоритеты?",0,
44,45," рейтинге поступающих в столбце № в заявлении встречаются цифры больше 3-х.Как такое может получиться,если можно подавать заявление только на три направления?",0,
45,46,"Подскажите, если поступать платно - предоставляется ли общежитие?",0,
46,47,Какие нужно сдавать экзамены для поступления по специальности Техник - программист. у меня имеется диплом по специальности сборщик очков в Новосибирском Приборостраительном технукуме имени Б.С. Галущака. Сборщик очков 3 разряд с получением среднего (полного) общего образования. И какие нужны документы для поступления в НГТУ ИСР город Новосибирск. Станислав.,0,
47,48,"Я закончил вуз в 2001 году. Как определить, дипломированный я специалист или просто специалист.  условиях приема сказано, что только дипломированный может поступать на бюджет.",0,
48,49,На какую почту отправлять заявление? Пожалуйста можете указать адоес,0,
49,50, При составлении заявления о поступления и анкетных данных на сайте НГТУ я указала наличие аттестата с отличием. Почему в рейтинговом списке за индивидуальные достижения О баллов?,0,
50,51,Подал заявление на несколько магистерских программ внутри одного направления(13.04.02). Можно ли после подачи заявления убрать одно из направлений? Либо же в случае поступления на нежеланную программу перевестись на желаемую.,0,
51,52,Хочу поступить к ам учиться. Есть ли возможность подать документы на электронную почту а не лично?,0,
52,53,Я живу в саратове. Как мне подать заявление на поступление не приезжая в Новосибирск? ,0,
53,54,"Являюсь студентом НГАУ Закончил первый курс очное, понял что юриспруденция не мое, решил уйти на заочное. У меня среднее профессиональное образование Банковское дело (3 курса), а также я проучился 1 курс в НГАУ на очном, могу ли не потерять все эти годы потраченные на Банковское дело, а также год в НГАУ и поступить/перевестись на Факультет бизнеса - Финансы и кредит, к примеру. Диплом о среднем профессиональном образовании у меня. А также какой вариант можете мне предложить?",0,
54,55,Могу ли я поступить на Финансы и кредит имея среднее-профессиональное образование? То есть без результатов ЕГЭ,0,
55,56,"Здравствуйте, согласие на зачисление надо писать лично в приёмной комиссии, имея при себе подлинники документов? Я уже подал документы в электронном виде, и хочу быть зачислен на платное отделение.",0,
56,57,"Где можно посмотреть прошлогодние средние баллы, с которыми взяли на бюджет? ",0,
57,58,Если Прием документов на заочную форму и запись абитуриентов на сдачу вступительных экзаменов по материалам НГТУ заканчивается 9 августа в 17:00 это значит можно приехать в любое время до 9 августа и сдать экзамены? а с какого числа начнутся экзамены?,0,
58,59,"в личном кабинете при заполнении анкеты нужно отметить  2016 году проходить вступительные испытания не буду либо  2016 году проходить вступительные испытания буду по материалам НГТУ. а если я уже сдала вступительные испытания на тер-рии Казахстана, что отмечать?",0,
59,60,На какие профессии можно обучаться дистанционно? Стоимость? Продолжительность?,0,
60,61,"Скажите, пожалуйста, где и когда будут выездные комиссии по городу Чита? И какое наименьшее количество баллов необходимо для поступление на бюджетную основу в ваш университет? Заранее спасибо.",0,
61,62,"Здравствуйте. Я знаю что при университете есть ансамбль скрипачей.Если принять участие в жизни ансамбля, будет ли доплата к стипендии?Спасибо.",0,
62,63,"Можно ли отправить копии документов в ЛК без перевода печатей (для Казахстана), а потом привезти оригиналы всех документов уже с переведенными и нотариально заверенными печатями?",0,
63,64,поступающие на целевое обучение проходят по общему конкурсу или конкурс отдельный среди них?,0,
64,65,"Извините, я не получила ответ на вопрос: поступающие по целевому договору участвуют в общем конкурсе на бюджетные места или среди них свой конкурс?",0,
65,66,"Здравствуйте хочу поступить в ваш университет,где можно сдать вступительный экзамен в Караганде",0,
66,67,"Здравствуйте а выездные комиссии в Астану у вас имеются?? И есть ли бюджетные места в ИДО на заочную форму обучения по направлениям менеджмент, конфликтология, Реклама и связи с общественности, сервис и управление качеством? ",0,
67,68," Есть ли у вас выездные приемные комиссии в Казахстане(Усть-Каменогорск)? И если да,то когда они будут? Спасибо.",0,
68,69,есть ли льготы или будет ли учитываться при конкурсе наличие диплома I степени окружного конкурса worldskills (компетенция web-дизайн) в смежной специальности при поступлении на факультет АТФ?,0,
69,70," Меня интересует, с какого числа можно подавать документы на поступление?",0,
70,71,"Здравствуйте. Я абитуриент из Казахстана. Скажите, перевод каких документов нужен(Свидетельство о рождении, аттестат, удостоверение личности, паспорт(какие страницы) и перевод только документов полностью или только печатей. Спасибо.",0,
71,72," планирую поступать в магистратуру в этом году. Подскажите, пожалуйста, когда начинается прием документов?",0,
72,73, Можно ли поступить к ам на очно-заочное отделение если имеется начальное профессиональное образование? ЕГЭ не сдавали.,0,
73,74, Где можно найти бланк заявления на поступление в аш УЗ?,0,
74,75,"Здравствуйте, почему мне не начисляют 5 баллов за Серебряную медаль, сотрудник комиссии отвечает,что 5 баллов дается только за аттестат с отличием, хотя в Правилах приема написано, что Серебряная медаль учитывается в индивидуальных достижениях?",0,
75,76,"Здравствуйте, могу ли я подать за место паспорта оригинал удостоверения личности? ",0,
76,77," На сайте НГС появилась статья о нововведении при поступлении в этом году (заявление о согласии на зачисление). Прокомментируйте, пожалуйста этот момент: на каком этапе и до какого времени нужно написать это заявление? действительно ли оно может быть приоритетом в конкурсе (даже если твоё количество баллов выше , но нет заяаления)? при непрохождении на одну из выбранных специальностей есть ли возможность написания заявления на другую выбранную специальность (одну из трёх выбранных изначально)?Заранее спасибо за ответы!",0,
77,78,"Здравствуйте, я , Арсентьева Алёна планирую поступать в НГТУ на факультет  экономической безопасности . Так же я нахожусь под опекой. Есть ли бюджетные места , и на каких правах я буду поступать?",0,
78,79," Подскажите пожалуйста, чем отличается конкурсная группа ФМА.3 от ФМА.3п.",0,
79,80," При заполнении анкеты в личном кабинете, нужно указать серию и номер диплома. Диплом РФ и РК отличаются.  Казахстанских дипломах есть ТКБ №(из 7 цифр) и регистрационный номер, что именно нужно написать в пункт серия, что бы не ошибиться? Может вопрос глупый, но все же:) Спасибо за ответ!",0,
80,81, Когда принимают документы в ИСТР?,0,
81,82,"Здравствуйте, в личном кабинете абитуриента на факультете РЭФ отсутствует направление - 11.03.02 Инфокоммуникационные технологии и системы связи. Документы планирую отсылать по почте, сразу оригиналы. Если в бумажном заявлении впишу это конкурсную группу, но пропущу в электронной у комиссии не возникнет затруднений? Или можно рассчитывать на быструю правку (в течении недели)?",0,
82,83,Здравствуйте.Медсправка 086/у прохождение 2015годом действительна при поступлении в 2016,0,
83,84,"Добрый день, если медкомиссию пройти в Казахстане и на медицинской справке формы №086-у будет стоять печать на казахском языке, то ее нужно перевести нотариально на русский язык?",0,
84,85," Закончила колледж НПЭК, специальность Экономика и бух.учет. Есть ли возможность поступить на ускоренное обучение на Экономику (по сокращенной программе - 3 года. бакалавриат)? Спасибо.",0,
85,86,"Здравсвуйте, скажите пожалуйста, если не сдал математику профиль, можно ли сдавать экзамен на базе института, чтобы поступить, или у вас зачисляются только по результатам ЕГЭ",0,
86,87,"Здравствуйте, подскажите, пожалуйста, а то совсем голова уже кругом. Я подала в ваш университет копии документов, и оригиналы в другой. Первая и вторая волны зачисления в другом вузе 1 и 6 августа, соответственно до этого момента я не могу забрать оттуда оригинал, т.к. Не буду знать ещё, поступила я или нет.  чем заключается вопрос: до какого числа я должна принести оригиналы в нгту, если в тот вуз я не пройду? ",0,
87,88,Здравствуйте Где брать направление на заселение в общежитие на время приёмной комиссии? Если у меня поезд приезжает после 18:00 по Новосибирскому времени.,0,
88,89,"Здравствуйте, собираюсь подавать документы для учебы на гуманитарном факультете. С 18 по 28 августа мне нужно поехать на соревнования. Могу ли я это планировать? С какого числа начнется учеба? Смогу-ли вовремя получить учебники (если это предполагается вузом)? Как будет с зачислением?",0,
89,90,Я могу подать 5 заявлений каждое из которых на три направления? Или только 5 заявления в каждом из которых 1 направление?,0,
90,91,Здравствуйте. Какие документы нужно подать в приемную комиссию?,0,
91,92,Здравствуйте.Какие документы требуется с для поступления в ваш университет гражданам Казахстана? Спасибо. ,0,
92,93,"Здравствуйте, подскажите пожалуйста какие документы нужны при поступлени и можно ли выслать копии.",0,
93,94,"Здравствуйте, какой конкретно перечень документов нужно подготовить для поступления? ",0,
94,95, Где находится перечень необходимых документов для поступления?,0,
95,96,"Здравствуйте, будут ли считаться в индивидуальные достижения следующее: грамота победитель игры-конкурса Русский медвежонок - языкознание для всех среди учащихся 11 классов, свидетельство о прослушивании сертифицированного курса Алгоритмы. Олимпиадное программирование Модуль 1 на языке Java, диплом за 2 место в Профессиональной олимпиаде Дорога к мастерству по компетенции сетевое и системное администрирование? И если да, то как мне предоставить электронные копии, а в будущем уже оригиналы? ",0,
96,97,Добрый день хотим подать документы на поступление на контракт но 28 июля мы уезжаем из новосибирска приедем 20 августа если мы будем приняты как нам быть ,0,
97,98,"Здравствуйте, Я гражданин Кыргызской Республики, закончиваю школу в Киргизии. Хотел в этом году поступить в ваш вуз. Какие требования для Кыргызстанцев? Так как КР входит в ТС. ",0,
98,99,"Здравствуйте , я бы хотела узнать , я иностранный граждан , могу ли я поступить к вам на бюджетной основе ? ",0,
99,100,"ЗДРАСТУЙТЕ!могу ли я ,поступить на бюджетную форму обучения . Если я не гражданин РФ ? Если да, то что надо сделать какие испыьания или тесты сдавать и когда? Спасибо!",0,
100,101,"Добрый день! Я закончила ФБ в 2009 году, бакалавриат и специалитет - 5 лет по специальностям: Б- Экономист-менеджер, С- Антикризиное управление. Хочу получить Магистратуру по направлению Маркетинг. Есть результат TOEFL. Можно ли его зачесть для сдачи английского. И нужно ли сдавать остальные экзамены (все перечисленные для экзаменов дисциплины есть в дипломе). ",0,
101,102,"Добрый день, имею средний балл аттестата 5, но в аттестате не указано, что получена медаль. Можно ли рассчитывать на дополнительные баллы. Аттестат получен в Казахстане.",0,
102,103,"Здравствуйте, на сайте поступления в магистратуру написано, что 13 июня завершается прием заявок на участие в конкурсе на обучение по программам магистратуры НГТУ в рамках выделенной Министерством образования и науки РФ квоты на обучение иностранных граждан и соотечественников за счет средств федерального бюджета. Это про бюджетные места я так понимаю? А если я еще бакалавриат только заканчиваю, а осенью хочу учиться в магистратуре на бюджете, то мне надо успеть до 13 числа подать заявку или как? Просто странно, что в конкурс на бюджет так рано принимают заявки, когда еще бакалавриат не закончен",0,
103,104," Подскажите пожалуйста, Какие документы мне падать для поступления и куда их скинуть?",0,
104,105,"Здравствуйте, хочу подать документы в электронном виде, только не могу найти заявления или анкеты для заполнения , а также адреса электронной почты, не могли бы вы помочь.",0,
105,106,"Здравствуйте, нужно ли сдавать какие-либо экзамены дополнительно если только закончила университет получила высшее образование в КФ НГПУ по специальности Педагогическое образование Математика и Информатика? Обучение на второе высшее образование также 5 лет? Или меньше? Планирую на заочное отделение на Юриспруденцию (заочная форма, второе высшее).",0,
106,107,"Здравствуйте, как в электроном виде передать заявление об общежитии? Нужно ли его заполнять при подачи документов в электроном виде?",0,
107,108,"Я сдала вступительные экзамены в НГТУ в марте в г.Семей,знаю свои баллы.Хочу подать документы самостоятельно через интернет.Что нужно для этого?",0,
108,109,"Здравствуйте,я подала заявление только на одну специальность,но сегодня узнала,что бюджетных мест на неё нет.Могу ли я изменить/добавить другие направления?Мне придется подавать заново документы?",0,
109,110,Здравствуйте могу ли я добавить каким либо образом направление/специальность уже после отправки заявления онлайн.,0,
110,111," Я хотела бы узнать если я уже подала заявление и документы на одно направление , но хотела бы еще на одно , можно ли что то сделать? ",0,
111,112,"Здравствуйте, я подал заявку на 3 факультета в вашем Университете, и уже заполнил заявления, могу ли я поменять эти факультеты? Благодарю за скорейший ответ!",0,
112,113," А что если я уже подал документы на несколько направлений (2), но теперь захотел подать на ещё одно? озможно ли это и что в этом случае требуется?",0,
113,114,"Здравствуйте. При заполнении анкеты не указала, что я хочу учиться на коммерции. Если я не попаду на бюджет, возьмут ли меня на коммерцию? езде написано, что я согласна только на бюджет",0,
114,115,"Здравствуйте, если я подал документы на 2 факультета, могу ли я электронно добавить ещё один, или обязательно ехать и заново подавать документы очно.",0,
115,116,"Здравствуйте, хочу поступать в ваш университет, я из Казахстана , я закончил колледж, специальность Автоматизация технологических процессов, хотел бы поступить на эту же специальность на дистанционное обучение , подскажите пожалуйста какие мне для этого нужны документы, какой срок обучения, сколько будет стоить , и срок приема документов",0,
116,117,"Здравствуйте. Скажите, пожалуйста, почему у меня результат ЕГЭ по истории не написан, хотя я подавала эти сведения. Без истории у меня 139, а с историей 186. И в расписке в приеме документов история записана. Нужно обязательно изменить!",0,
117,118,"Здравствуйте, подскажите пожалуйста, подовала документы без результатов физики, результаты уже давно пришли, доставятся ли баллы в заявлении, чтобы можно было отсматривать рейтинг??!",0,
118,119,Здравствуйте. У меня в анкете записаны результаты ЕГЭ только по русскому и по математике. Как добавить результат по физике? ,0,
119,120,"Подскажите,пожалуйста,Если подавать документы на три направления факультета,нужен один экземпляр или подается только три заявления,а документы в одном экземпляре?Спасибо.",0,
120,121,"Здравствуйте. Я живу в г.Петропавловске-Камчатском Камчатского края, хотела бы поступить в ваш Университет. С 20.06.2016 будет открыт личный кабинет, через который я могу подать документы. Могу ли я прикреплять документы постепенно, дело в том, что выдача аттестатов у нас назначена на 25.06.2016г.? И как влияет на конкурс при поступлении подача документов через личный кабинет или же оригиналы документов рассматриваются в первую очередь?",0,
121,122,"Здравствуйте По результатам ЕГЭ по физике я набрал 36 баллов, смогу ли я теперь расчитывать на поступление в ваш УЗ? У меня имеется золотой значок ГТО, сыграет ли он какую нибудь роль при поступлении? Можно ли его досдать?",0,
122,123," Сдал ЕГЭ в 2012 году и хочу поступить в ваш вуз в 2016 году. Надо ли мне сдавать профильную математику, ведь в 2012 году она была общая?",0,
123,124,"Добрый день. Скажите пожалуйста, есть смысл подавать заявление на специальность Экономическая безопасность на коммерческую основу, с результатами ЕГЭ: математика (профиль) 27 (баллов), русский язык 70 (баллов), обществознание 59 (баллов)?",0,
124,125,"здравствуйте, можно ли подать заявление на фго, если у дочери егэ русск-88 баллов, англ-76, общесво-58, но матем-27 баллов, хотя базовая матем-на четверку ?",0,
125,126,"Добрый день. Я поступаю в НГТУ и мой выбор пал на АТФ и ФПМИ, в связи с чем сегодня посещал консультантов в платках, расположенных напротив 2-го корпуса. Меня заинтересовала специальность Управление в технических системах и я решил спросить у консультантов от АТФа о ней, в ответ услышал, что здесь учат на системных администраторов, что идёт в разрез с информацией на сайте факультета, где, впрочем, также написано очень размыто и неясно. Мне не смогли ответить на вопрос, о чём эта специальность и что ждёт выпускников.  связи с чем прошу проверить компетентность консультантов, ибо создаётся ощущение, что ребята вовсе не в курсе происходящего и не знают сути дисциплин. Почему так происходит, что поступающий не может получить исчерпывающей информации о направлении?",0,
126,127," У дочери за 10-11 класс аттестат с отличием. Получим ли мы дополнительные баллы при поступлении и сколько? Нужны какие-то дополнительные подтверждающие документы, кроме самого аттестата? Спасибо!",0,
127,128,"Здравствуйте, мой сын по результатам ЕГЭ набрал проходной балл НГТУ, хотим поступать на бюджет на факультет энергетики - техносферная безопасность - нам нужно только привезти оригиналы и ждать результатов зачисления или сдавать у вас дополнительно экзамены? На бюджет поступают те у кого наибольшее количество баллов по ЕГЭ?",0,
128,129,Добрый день! Абитуриент с такими баллами: по математике-45; русскому языку- 61; информатика-47 сможет ли поступить к вам на бюджетной основе? ,0,
129,130,"Здравствуйте, хотелось бы узнать о шансах поступления на на бюджет АТФ, если в сумме у меня набирается 228 баллов.",0,
130,131," Могу ли я имея в сумме 194 балла по русскому, математике и обществознанию поступить на бюджетную основу?",0,
131,132,"Добрый день! Имею аттестат с одной четверкой, а остальные пятерки. На сколько дополнительных баллов могу я рассчитывать? Спасибо.",0,
132,133," Я проживаю в городе Барнауле и хотела бы подать документы в ваш университет на специальность Эксплуатация транспортно-технологических машин и комплексов. Хотелось бы подать документы в электронном виде или же заказным письмом. Расскажите пожалуйста, какие ксерокопии необходимо отправить? И нужно ли отправлять фотографии и мед.справку (справка по форме 086-у, верно?) или же их можно будет предоставить вместе с оригиналом аттестата и согласием на зачисление уже лично? И до какого числа необходимо предоставить оригиналы и согласие? Также нуждаюсь в общежитии, какие документы и справки нужны для заселения в общежитие и когда их необходимо предоставить? Спасибо заранее за ответ!",0,
